FNC_0;ACS_0;OPT_0;PRFCOD_0;FCYGRUCOD_0;FCYGRU_0;57
ANURBK;2; ;AVRSP;1;AVIAC;1
BANAFFA;2;U;AVRSP;1;AVIAC;1
BANAFFA;2;U;AVRSP;1;F0001;1
BANAFFM;2;U;AVRSP;1;AVIAC;1
BANREC;2; ;AVRSP;1;AVIAC;1
BOMPRN;2; ;AVRSP;0; ;1
BOMRET;2; ;AVRSP;0; ;1
BPCREDIT;2; ;AVRSP;0; ;1
BPCREDITD;2; ;AVRSP;0; ;1
BPCVAL;2;U;AVRSP;1;AVIAC;1
BPOINET;2; ;AVRSP;1;AVIAC;1
BPRICRE;2;CS;AVRSP;1;AVIAC;1
BPSVAL;2;U;AVRSP;1;AVIAC;1
CALCSTBUD;2; ;AVRSP;1;AVIAC;1
CALCSTCUT;2; ;AVRSP;1;AVIAC;1
CALCSTSIM;2; ;AVRSP;1;AVIAC;1
CALCSTSTD;2; ;AVRSP;1;AVIAC;1
CALCSTUPD;2; ;AVRSP;1;AVIAC;1
CALMFGCOST;2; ;AVRSP;1;AVIAC;1
CALSCOCOST;2; ;AVRSP;1;AVIAC;1
CASNOMENP;2; ;AVRSP;0; ;1
CASNOMENS;2; ;AVRSP;0; ;1
CFGTCT;2; ;AVRSP;0; ;1
CMPGAU;2; ;AVRSP;0; ;1
CNSXTP;2; ;AVRSP;0; ;1
COMPCOUT;2; ;AVRSP;1;AVIAC;1
COMPCOUTM;2; ;AVRSP;1;AVIAC;1
CONSALLA;2; ;AVRSP;1;AVIAC;1
CONSALLG;2; ;AVRSP;1;AVIAC;1
CONSALLS;2; ;AVRSP;1;AVIAC;1
CONSBAG;2; ;AVRSP;1;AVIAC;1
CONSBAGF;2; ;AVRSP;1;AVIAC;1
CONSBAH;2; ;AVRSP;1;AVIAC;1
CONSBAHF;2; ;AVRSP;1;AVIAC;1
CONSBAN;2; ;AVRSP;1;AVIAC;1
CONSBPSI;2; ;AVRSP;0; ;1
CONSBTR;2; ;AVRSP;1;AVIAC;1
CONSCHQ;2; ;AVRSP;0; ;1
CONSCOL;2; ;AVRSP;1;AVIAC;1
CONSCOL2;2; ;AVRSP;1;AVIAC;1
CONSCPD;2; ;AVRSP;1;AVIAC;1
CONSCPI;2; ;AVRSP;1;AVIAC;1
CONSCPJ;2; ;AVRSP;1;AVIAC;1
CONSCPN;2; ;AVRSP;1;AVIAC;1
CONSCPO;2; ;AVRSP;1;AVIAC;1
CONSCPP;2; ;AVRSP;1;AVIAC;1
CONSCPQ;2; ;AVRSP;1;AVIAC;1
CONSCPR;2; ;AVRSP;1;AVIAC;1
CONSCPS;2; ;AVRSP;1;AVIAC;1
CONSCSD;2; ;AVRSP;1;AVIAC;1
CONSCSF;2; ;AVRSP;1;AVIAC;1
CONSCSG;2; ;AVRSP;0; ;1
CONSCSG2;2; ;AVRSP;0; ;1
CONSCSI;2; ;AVRSP;1;AVIAC;1
CONSCSL;2; ;AVRSP;1;AVIAC;1
CONSCSN;2; ;AVRSP;1;AVIAC;1
CONSCSO;2; ;AVRSP;1;AVIAC;1
CONSCSP;2; ;AVRSP;1;AVIAC;1
